agegroup	year	sex	n
35-39	2003	Male	10
40-44	2003	Male	22
45-49	2003	Male	30
50-54	2003	Male	59
55-59	2003	Male	120
60-64	2003	Male	172
65-69	2003	Male	213
70-74	2003	Male	289
75-79	2003	Male	365
80-84	2003	Male	303
85-89	2003	Male	184
0-4	2003	Female	0
5-9	2003	Female	1
10-14	2003	Female	2
15-19	2003	Female	2
20-24	2003	Female	3
25-29	2003	Female	8
30-34	2003	Female	3
35-39	2003	Female	7
40-44	2003	Female	18
45-49	2003	Female	46
50-54	2003	Female	60
55-59	2003	Female	99
60-64	2003	Female	167
65-69	2003	Female	188
70-74	2003	Female	283
75-79	2003	Female	346
80-84	2003	Female	350
85-89	2003	Female	266
0-4	2002	Male	0
5-9	2002	Male	0
10-14	2002	Male	2
15-19	2002	Male	6
20-24	2002	Male	1
25-29	2002	Male	4
30-34	2002	Male	7
35-39	2002	Male	8
40-44	2002	Male	21
45-49	2002	Male	28
50-54	2002	Male	54
55-59	2002	Male	108
60-64	2002	Male	157
65-69	2002	Male	219
70-74	2002	Male	270
75-79	2002	Male	342
80-84	2002	Male	289
85-89	2002	Male	183
0-4	2002	Female	0
5-9	2002	Female	0
10-14	2002	Female	1
15-19	2002	Female	4
20-24	2002	Female	4
25-29	2002	Female	7
30-34	2002	Female	11
35-39	2002	Female	10
40-44	2002	Female	15
45-49	2002	Female	40
50-54	2002	Female	66
55-59	2002	Female	125
60-64	2002	Female	136
65-69	2002	Female	171
70-74	2002	Female	303
75-79	2002	Female	346
80-84	2002	Female	337
85-89	2002	Female	260
0-4	2001	Male	0
5-9	2001	Male	0
10-14	2001	Male	3
15-19	2001	Male	1
20-24	2001	Male	4
25-29	2001	Male	3
30-34	2001	Male	12
35-39	2001	Male	13
40-44	2001	Male	16
45-49	2001	Male	46
50-54	2001	Male	74
55-59	2001	Male	109
60-64	2001	Male	144
65-69	2001	Male	210
70-74	2001	Male	256
75-79	2001	Male	360
80-84	2001	Male	260
85-89	2001	Male	164
0-4	2001	Female	0
5-9	2001	Female	0
10-14	2001	Female	3
15-19	2001	Female	4
20-24	2001	Female	6
25-29	2001	Female	5
30-34	2001	Female	10
35-39	2001	Female	12
40-44	2001	Female	14
45-49	2001	Female	27
50-54	2001	Female	57
55-59	2001	Female	107
60-64	2001	Female	152
65-69	2001	Female	201
70-74	2001	Female	256
75-79	2001	Female	316
80-84	2001	Female	347
85-89	2001	Female	268
0-4	2000	Male	0
5-9	2000	Male	0
10-14	2000	Male	2
15-19	2000	Male	1
20-24	2000	Male	2
25-29	2000	Male	4
30-34	2000	Male	5
35-39	2000	Male	8
40-44	2000	Male	19
45-49	2000	Male	36
50-54	2000	Male	64
55-59	2000	Male	113
60-64	2000	Male	154
65-69	2000	Male	174
70-74	2000	Male	255
75-79	2000	Male	308
80-84	2000	Male	297
85-89	2000	Male	153
0-4	2000	Female	0
5-9	2000	Female	0
10-14	2000	Female	1
15-19	2000	Female	0
20-24	2000	Female	4
25-29	2000	Female	7
30-34	2000	Female	10
35-39	2000	Female	11
40-44	2000	Female	25
45-49	2000	Female	32
50-54	2000	Female	66
55-59	2000	Female	77
60-64	2000	Female	132
65-69	2000	Female	206
70-74	2000	Female	265
75-79	2000	Female	318
80-84	2000	Female	329
85-89	2000	Female	236
0-4	1999	Male	0
5-9	1999	Male	0
10-14	1999	Male	1
15-19	1999	Male	4
20-24	1999	Male	3
25-29	1999	Male	2
30-34	1999	Male	6
35-39	1999	Male	12
40-44	1999	Male	19
45-49	1999	Male	31
50-54	1999	Male	59
55-59	1999	Male	108
60-64	1999	Male	164
65-69	1999	Male	208
70-74	1999	Male	284
75-79	1999	Male	338
80-84	1999	Male	279
85-89	1999	Male	176
0-4	1999	Female	0
5-9	1999	Female	2
10-14	1999	Female	3
15-19	1999	Female	1
20-24	1999	Female	4
25-29	1999	Female	2
30-34	1999	Female	5
35-39	1999	Female	11
40-44	1999	Female	21
45-49	1999	Female	45
50-54	1999	Female	75
55-59	1999	Female	113
60-64	1999	Female	161
65-69	1999	Female	205
70-74	1999	Female	281
75-79	1999	Female	322
80-84	1999	Female	314
85-89	1999	Female	247
0-4	1998	Male	0
5-9	1998	Male	0
10-14	1998	Male	0
15-19	1998	Male	0
20-24	1998	Male	3
25-29	1998	Male	5
30-34	1998	Male	7
35-39	1998	Male	14
40-44	1998	Male	19
45-49	1998	Male	31
50-54	1998	Male	76
55-59	1998	Male	115
60-64	1998	Male	139
65-69	1998	Male	206
70-74	1998	Male	272
75-79	1998	Male	322
80-84	1998	Male	220
85-89	1998	Male	165
0-4	1998	Female	1
5-9	1998	Female	0
10-14	1998	Female	2
15-19	1998	Female	4
20-24	1998	Female	3
25-29	1998	Female	3
30-34	1998	Female	12
35-39	1998	Female	10
40-44	1998	Female	24
45-49	1998	Female	39
50-54	1998	Female	69
55-59	1998	Female	87
60-64	1998	Female	115
65-69	1998	Female	199
70-74	1998	Female	269
75-79	1998	Female	362
80-84	1998	Female	279
85-89	1998	Female	230
0-4	1997	Male	0
5-9	1997	Male	0
10-14	1997	Male	0
15-19	1997	Male	2
20-24	1997	Male	1
25-29	1997	Male	7
30-34	1997	Male	4
35-39	1997	Male	5
40-44	1997	Male	19
45-49	1997	Male	28
50-54	1997	Male	62
55-59	1997	Male	105
60-64	1997	Male	153
65-69	1997	Male	232
70-74	1997	Male	272
75-79	1997	Male	360
80-84	1997	Male	239
85-89	1997	Male	133
0-4	1997	Female	0
5-9	1997	Female	2
10-14	1997	Female	0
15-19	1997	Female	4
20-24	1997	Female	7
25-29	1997	Female	7
30-34	1997	Female	7
35-39	1997	Female	10
40-44	1997	Female	18
45-49	1997	Female	25
50-54	1997	Female	58
55-59	1997	Female	88
60-64	1997	Female	121
65-69	1997	Female	182
70-74	1997	Female	244
75-79	1997	Female	304
80-84	1997	Female	328
85-89	1997	Female	243
0-4	1996	Male	0
5-9	1996	Male	0
10-14	1996	Male	1
15-19	1996	Male	1
20-24	1996	Male	4
25-29	1996	Male	6
30-34	1996	Male	7
35-39	1996	Male	5
40-44	1996	Male	23
45-49	1996	Male	36
50-54	1996	Male	53
55-59	1996	Male	80
60-64	1996	Male	116
65-69	1996	Male	196
70-74	1996	Male	299
75-79	1996	Male	306
80-84	1996	Male	230
85-89	1996	Male	159
0-4	1996	Female	0
5-9	1996	Female	0
10-14	1996	Female	0
15-19	1996	Female	1
20-24	1996	Female	4
25-29	1996	Female	5
30-34	1996	Female	5
35-39	1996	Female	8
40-44	1996	Female	22
45-49	1996	Female	35
50-54	1996	Female	62
55-59	1996	Female	98
60-64	1996	Female	110
65-69	1996	Female	163
70-74	1996	Female	278
75-79	1996	Female	316
80-84	1996	Female	311
85-89	1996	Female	229
0-4	1995	Male	0
5-9	1995	Male	0
10-14	1995	Male	0
15-19	1995	Male	1
20-24	1995	Male	5
25-29	1995	Male	3
30-34	1995	Male	4
35-39	1995	Male	12
40-44	1995	Male	19
45-49	1995	Male	32
50-54	1995	Male	55
55-59	1995	Male	83
60-64	1995	Male	138
65-69	1995	Male	180
70-74	1995	Male	305
75-79	1995	Male	324
80-84	1995	Male	272
85-89	1995	Male	142
0-4	1995	Female	0
5-9	1995	Female	2
10-14	1995	Female	5
15-19	1995	Female	7
20-24	1995	Female	1
25-29	1995	Female	4
30-34	1995	Female	2
35-39	1995	Female	21
40-44	1995	Female	14
45-49	1995	Female	33
50-54	1995	Female	58
55-59	1995	Female	87
60-64	1995	Female	117
65-69	1995	Female	193
70-74	1995	Female	318
75-79	1995	Female	329
80-84	1995	Female	295
85-89	1995	Female	214
0-4	1994	Male	0
5-9	1994	Male	1
10-14	1994	Male	0
15-19	1994	Male	0
20-24	1994	Male	1
25-29	1994	Male	7
30-34	1994	Male	12
35-39	1994	Male	6
40-44	1994	Male	19
45-49	1994	Male	32
50-54	1994	Male	58
55-59	1994	Male	93
60-64	1994	Male	137
65-69	1994	Male	179
70-74	1994	Male	288
75-79	1994	Male	299
80-84	1994	Male	240
85-89	1994	Male	134
0-4	1994	Female	0
5-9	1994	Female	0
10-14	1994	Female	1
15-19	1994	Female	3
20-24	1994	Female	5
25-29	1994	Female	6
30-34	1994	Female	3
35-39	1994	Female	11
40-44	1994	Female	20
45-49	1994	Female	49
50-54	1994	Female	52
55-59	1994	Female	97
60-64	1994	Female	123
65-69	1994	Female	206
70-74	1994	Female	281
75-79	1994	Female	308
80-84	1994	Female	284
85-89	1994	Female	213
0-4	1993	Male	0
5-9	1993	Male	0
10-14	1993	Male	1
15-19	1993	Male	3
20-24	1993	Male	3
25-29	1993	Male	4
30-34	1993	Male	5
35-39	1993	Male	10
40-44	1993	Male	17
45-49	1993	Male	38
50-54	1993	Male	51
55-59	1993	Male	67
60-64	1993	Male	136
65-69	1993	Male	211
70-74	1993	Male	278
75-79	1993	Male	307
80-84	1993	Male	244
85-89	1993	Male	133
0-4	1993	Female	0
5-9	1993	Female	0
10-14	1993	Female	2
15-19	1993	Female	8
20-24	1993	Female	3
25-29	1993	Female	2
30-34	1993	Female	5
35-39	1993	Female	8
40-44	1993	Female	16
45-49	1993	Female	35
50-54	1993	Female	47
55-59	1993	Female	87
60-64	1993	Female	132
65-69	1993	Female	200
70-74	1993	Female	285
75-79	1993	Female	286
80-84	1993	Female	315
85-89	1993	Female	248
0-4	1992	Male	0
5-9	1992	Male	0
10-14	1992	Male	0
15-19	1992	Male	1
20-24	1992	Male	1
25-29	1992	Male	6
30-34	1992	Male	9
35-39	1992	Male	7
40-44	1992	Male	22
45-49	1992	Male	41
50-54	1992	Male	68
55-59	1992	Male	91
60-64	1992	Male	126
65-69	1992	Male	194
70-74	1992	Male	316
75-79	1992	Male	317
80-84	1992	Male	223
85-89	1992	Male	149
0-4	1992	Female	0
5-9	1992	Female	0
10-14	1992	Female	2
15-19	1992	Female	2
20-24	1992	Female	4
25-29	1992	Female	7
30-34	1992	Female	5
35-39	1992	Female	12
40-44	1992	Female	23
45-49	1992	Female	33
50-54	1992	Female	60
55-59	1992	Female	90
60-64	1992	Female	136
65-69	1992	Female	200
70-74	1992	Female	268
75-79	1992	Female	314
80-84	1992	Female	301
85-89	1992	Female	207
0-4	1991	Male	0
5-9	1991	Male	0
10-14	1991	Male	1
15-19	1991	Male	2
20-24	1991	Male	3
25-29	1991	Male	3
30-34	1991	Male	4
35-39	1991	Male	12
40-44	1991	Male	15
45-49	1991	Male	31
50-54	1991	Male	55
55-59	1991	Male	75
60-64	1991	Male	154
65-69	1991	Male	203
70-74	1991	Male	309
75-79	1991	Male	303
80-84	1991	Male	232
85-89	1991	Male	126
0-4	1991	Female	0
5-9	1991	Female	0
10-14	1991	Female	5
15-19	1991	Female	4
20-24	1991	Female	12
25-29	1991	Female	4
30-34	1991	Female	6
35-39	1991	Female	11
40-44	1991	Female	24
45-49	1991	Female	40
50-54	1991	Female	51
55-59	1991	Female	75
60-64	1991	Female	119
65-69	1991	Female	224
70-74	1991	Female	256
75-79	1991	Female	330
80-84	1991	Female	279
85-89	1991	Female	228
0-4	1990	Male	0
5-9	1990	Male	0
10-14	1990	Male	1
15-19	1990	Male	0
20-24	1990	Male	4
25-29	1990	Male	5
30-34	1990	Male	3
35-39	1990	Male	10
40-44	1990	Male	25
45-49	1990	Male	35
